solution_id,customer_id,solution_type,risk_amount,start_date,end_date,underwriter_id,annual_fee
S001,C101,Captive Insurance,1000000.00,2023-01-01,2024-01-01,U001,50000.00
S002,C102,Reinsurance,5000000.00,2023-02-15,2024-02-15,U002,150000.00
S003,C103,Self-Insurance,750000.00,2023-03-10,2024-03-10,U003,35000.00
S004,C104,Risk Retention Group,2000000.00,2023-04-01,2024-04-01,U001,75000.00
S005,C105,Captive Insurance,1500000.00,2023-05-20,2024-05-20,U002,60000.00
S006,C101,Reinsurance,3000000.00,2023-06-15,2024-06-15,U003,100000.00
S007,C106,Self-Insurance,500000.00,2023-07-01,2024-07-01,U001,25000.00
S008,C107,Risk Retention Group,2500000.00,2023-08-10,2024-08-10,U002,90000.00
S009,C108,Captive Insurance,1200000.00,2023-09-01,2024-09-01,U003,55000.00
S010,C109,Reinsurance,4000000.00,2023-10-15,2024-10-15,U001,125000.00
